"","zhong","saunders","product"
"SRRM3",0.576188120726044,0.440276508257886,0.253682093892936
"TMEM179",0.752853276786251,0.33657636133333,0.253392616518591
"NECAB2",0.394499860990822,0.631604285917357,0.249167802995605
"ELOVL6",0.707109838438302,0.342919167863534,0.24248151738538
"RARA",0.607337319142024,0.396720730771445,0.240943305074794
"USP33",0.614328247732084,0.389337664929138,0.239181125472019
"GRIA4",0.84739334120679,0.28019197006372,0.237432809691609
"CELF4",0.942424487642444,0.246369173108456,0.232184341737629
"DLGAP2",0.861094828617679,0.267286530609323,0.230159049266849
"ELAVL4",0.664680184675698,0.345051051232241,0.22934859645559
"PNCK",0.802684308455409,0.282170350731489,0.226493712843525
"SVOP",0.790117848368241,0.285828831770504,0.225838461560119
"SCN8A",0.742063675264117,0.302900363043254,0.224771356638712
"EFNA2",0.835649017826786,0.266002089687379,0.222284384987131
"LAMB3",0.831381296343667,0.267219200552534,0.222161045363284
"CPLX2",0.981444944233344,0.22569688451628,0.22150906623772
"DNMT3B",0.837145791785043,0.258578304411638,0.216467739385115
"PABPC5",0.543483215051241,0.390910808628658,0.212453463071783
"TENM2",0.891088453630286,0.238287655188569,0.212335378181169
"TRIM46",0.609519058524339,0.346625845914321,0.2112750592619
"LRP12",0.401312452108603,0.525403177221519,0.210850837396419
"LRRC8B",0.90576880149985,0.229879759175262,0.208217913957251
"CHD5",0.936708364654709,0.220224912512333,0.206286517655654
"ERC2",0.776450894289251,0.265283135697753,0.205979327952377
"NOL4",0.547259230066483,0.371422065978754,0.203264153857235
"PCDH9",0.860563310953867,0.226399625204966,0.1948312110651
"NEGR1",0.817493264643126,0.237732403286397,0.194344638474053
"UBASH3B",0.642903783578372,0.301282030805924,0.193695357529304
"SLC39A2",0.579989337329439,0.331467205070508,0.192247444615285
"FRMPD4",0.41569615885643,0.460622662195045,0.191479071356703
"INA",0.925585299725587,0.20654720074959,0.19117705271329
"CIT",0.538835797347398,0.3529818269365,0.19019924416647
"ADCY9",0.446818266588086,0.425350957029922,0.190054577311693
"ONECUT2",0.299961749127847,0.630488100366878,0.189122313390342
"SYT1",0.75348358007218,0.248711642070743,0.187400138473094
"FAM169A",0.666825230997876,0.279471581986808,0.186358702215695
"FGD3",0.904936871894036,0.204685746352413,0.185227679025449
"LZTS1",0.802150691172365,0.225549691496049,0.180924840927269
"CHST1",0.601997682221135,0.29207180732128,0.175826551049549
"SNAPC4",0.539989974981455,0.324471166852287,0.17521117727077
"TRPC4",0.255080181333963,0.675195359696999,0.172228954787361
"RUNX1T1",0.828145644496664,0.203871551069373,0.16883533705488
"SYT14",0.737351513991323,0.227192907536665,0.167521034340251
"NR2F2",0.378003392178489,0.439141108516255,0.165996828664166
"NAP1L3",0.42877947791841,0.386836813122243,0.165867686770177
"SHANK1",0.367655330346919,0.446218411933451,0.164054577646271
"ZSWIM5",0.560076460213399,0.292028015710377,0.163558017322211
"NOVA2",0.3443454007226,0.473721685231992,0.163123883532196
"SPTB",0.386813097655155,0.42166557718502,0.163105768085486
"SRRM4",0.388290900985896,0.415322507498661,0.161265950636377
"PURG",0.630792692418223,0.25378043533642,0.160082844088929
"CRB1",0.211537731453519,0.752615273164582,0.159206527542506
"CADM1",0.738366534818352,0.214804403841649,0.15860438332828
"ADAM11",0.253093549747896,0.623195511705701,0.157726764244552
"DAPK1",0.599701862462185,0.260535412658275,0.156243572208521
"LGI2",0.408312154241566,0.380677085921288,0.155435081022923
"JARID2",0.693697624172742,0.223443293322071,0.155002081714854
"SPOCK1",0.258254790661868,0.600018227545166,0.154957581747982
"L1CAM",0.551929991255652,0.278003447451796,0.153438440321111
"NAPB",0.6290625738482,0.243558210353713,0.153213354686968
"CDK14",0.7478015078154,0.203092059030218,0.151872547968131
"NCAM1",0.648754450694609,0.232665729679082,0.150942927653413
"CEP290",0.466704997431393,0.323112981537086,0.150798443218315
